,game_center,geo_location,population_2015,land_miles,density_per_mile,HH_Income,lon,lat,geometry
0,Golden 1 Center,"SACRAMENTO, CA","490,712.00",97.9,"5,012.38","46,106.00",-121.499619,38.580641,POINT (-1846055.443413501 -472583.6504320072)
1,Greensboro Coliseum,"Greensboro, NC","269,666.00",126.48,"2,132.00","40,913.00",-79.82555,36.059723,POINT (1797594.52121978 -775859.5169488323)
2,Mullins Center,"Amherst, MA","37,819.00",27.8,"1,360.40","52,537.00",-72.533446,42.389382,POINT (2203570.831694617 86164.26556559556)
3,Air Canada Centre,"Toronto, ON","2,731,571.00",243.33,"11,225.79","58,381.00",-79.379099,43.643466,POINT (1637281.8840823 58525.97571599556)
4,United Center,"Chicago, IL","2,720,546.00",227.6,"11,953.19","51,046.00",-87.674176,41.880691,POINT (1016050.448540883 -270287.2993871738)
5,Bankers Life Fieldhouse,"Indianapolis, IN","853,173.00",361.4,"2,360.74","45,548.00",-86.155464,39.76393,POINT (1177758.762815048 -483229.3111979876)
6,BMO Harris Bradley Center,"Milwaukee, WI","559,121.00",187.7,"2,978.80","46,132.00",-87.917199,43.043651,POINT (977591.7489511408 -144991.2919241617)
7,The Palace of Auburn Hills,"Detroit, MI","677,116.00",138.8,"4,878.36","49,160.00",-83.245793,42.696885,POINT (1357555.430685796 -116142.8646644179)
8,Philips Arena,"Atlanta, GA","463,878.00",133.2,"3,482.57","51,948.00",-84.396324,33.757289,POINT (1439531.963989324 -1115541.230728028)
9,Wells Fargo Center,"Philadelphia, PA","1,567,442.00",134.1,"11,688.61","47,528.00",-75.17198,39.901201,POINT (2080580.748218806 -250188.7013057935)
10,FedExForum,"Memphis, TN","655,770.00",315.1,"2,081.15","40,201.00",-90.050474,35.138204,POINT (905513.6460722756 -1041900.525037428)
11,Quicken Loans Arena,"Cleveland, OH","388,072.00",77.7,"4,994.49","42,215.00",-81.688216,41.496567,POINT (1510125.770756543 -220038.0980904228)
12,Amway Center,"Orlando, FL","270,934.00",102.4,"2,645.84","41,871.00",-81.38386,28.539256,POINT (1820421.297281176 -1628405.730511284)
13,AT&T Center,"San Antonio, TX","1,469,845.00",460.9,"3,189.08","39,140.00",-98.437445,29.427071,POINT (152729.6889195002 -1724932.636610271)
14,Mohegan Sun Arena,"Uncasville, CT","19,571.00",44.2,442.78,"55,086.00",-72.089702,41.49115,POINT (2270154.874198224 2635.200030827741)
15,Madison Square Garden,"New York, NY","8,550,405.00",302.6,"28,256.46","59,799.00",-73.993439,40.750504,POINT (2147065.761593626 -128365.6174560088)
16,TD Garden,"Boston, MA","667,137.00",48.3,"13,812.36","52,792.00",-71.062146,42.366198,POINT (2316352.900482966 124906.7402897588)
17,Talking Stick Resort Arena,"Phoenix, AZ","1,563,025.00",516.7,"3,025.01","44,752.00",-112.071201,33.445737,POINT (-1121097.315807203 -1203028.113505089)
18,American Airlines Center,"Dallas, TX","1,300,092.00",340.5,"3,818.19","47,418.00",-96.810278,32.790556,POINT (299779.8722457906 -1349473.978488843)
19,Moda Center,"Portland, OR","632,309.00",133.4,"4,739.95","46,090.00",-122.666842,45.531565,POINT (-1736620.114825194 305799.4599786198)
20,ORACLE Arena,"Oakland, CA","419,267.00",55.9,"7,500.30","63,024.00",-122.203049,37.750292,POINT (-1927586.038221291 -546659.3136662565)
21,Spectrum Center,"Charlotte, NC","132,609.00",109.0,"1,216.60","46,119.00",-80.839235,35.225143,POINT (1728411.230008863 -888167.3780696023)
22,Target Center,"Minneapolis, MN","410,939.00",54.0,"7,609.98","54,304.00",-93.27619,44.979455,POINT (528101.5425850739 19649.86829925766)
23,Toyota Center,"Houston, TX","2,296,224.00",599.6,"3,829.59","44,761.00",-95.3621,29.75076,POINT (451467.7987442361 -1678575.021575856)
24,STAPLES Center,"Los Angeles, CA","3,971,883.00",468.7,"8,474.25","45,903.00",-118.267254,34.043017,POINT (-1674856.44907414 -1035262.473267984)
25,Vivint Smart Home Arena,"Salt Lake City, UT","192,672.00",111.1,"1,734.22","48,594.00",-111.901087,40.768268,POINT (-998609.8742854148 -398201.1209631169)
26,Chesapeake Energy Arena,"Oklahoma City, OK","419,267.00",55.9,"7,500.30","36,797.00",-97.515118,35.463417,POINT (225789.1069809142 -1055877.274245694)
27,AmericanAirlines Arena,"Miami, FL","441,003.00",35.9,"12,284.21","38,632.00",-80.188056,25.781389,POINT (1991472.547802621 -1902007.579476409)
28,Smoothie King Center,"New Orleans, LA","389,617.00",169.4,"2,299.98","35,317.00",-90.082057,29.949035,POINT (961301.3269390911 -1613703.304654551)
29,Pepsi Center,"Denver, CO","682,545.00",153.0,"4,461.08","51,088.00",-105.00771,39.74866,POINT (-428251.0263501306 -570779.6515799686)
30,Verizon Center,"Washington, DC","672,228.00",61.0,"11,020.13","57,291.00",-77.02088,38.898125,POINT (1960030.147068133 -404013.8457354986)
