,date,game_center,geo_location,attendance,capacity,home,guest,mon,day,time,dow,night
0,2016-10-11 21:30:00,Golden 1 Center,"SACRAMENTO, CA",16000,17500,Haifa,Kings,10,11,21,1,1
1,2016-10-19 21:00:00,Golden 1 Center,"SACRAMENTO, CA",16000,17500,Clippers,Kings,10,19,21,2,1
2,2016-10-07 18:30:00,Greensboro Coliseum,"Greensboro, NC",8021,23309,Celtics,Hornets,10,7,18,4,0
3,2016-10-05 18:00:00,Mullins Center,"Amherst, MA",4532,9493,Celtics,76ers,10,5,18,2,0
4,2016-10-15 18:00:00,Air Canada Centre,"Toronto, ON",15113,19800,Lorenz,Raptors,10,15,18,5,0
5,2016-10-04 19:00:00,United Center,"Chicago, IL",20104,20917,Bucks,Bulls,10,4,19,1,1
6,2016-10-07 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",12925,18165,Bulls,Pacers,10,7,18,4,0
7,2016-10-09 19:00:00,United Center,"Chicago, IL",20096,20917,Pacers,Bulls,10,9,19,6,1
8,2016-10-15 19:00:00,United Center,"Chicago, IL",21766,20917,Cavaliers,Bulls,10,15,19,5,1
9,2016-10-16 19:30:00,BMO Harris Bradley Center,"Milwaukee, WI",10794,18717,Bulls,Bucks,10,16,19,6,1
10,2016-10-18 19:00:00,United Center,"Chicago, IL",20025,20917,Hornets,Bulls,10,18,19,1,1
11,2016-10-11 18:30:00,The Palace of Auburn Hills,"Detroit, MI",12103,22076,Spurs,Pistons,10,11,18,1,0
12,2016-10-14 18:30:00,Philips Arena,"Atlanta, GA",10852,18729,Pistons,Hawks,10,14,18,4,0
13,2016-10-16 18:00:00,Wells Fargo Center,"Philadelphia, PA",10891,20318,Pistons,76ers,10,16,18,6,0
14,2016-10-18 18:30:00,The Palace of Auburn Hills,"Detroit, MI",10096,22076,Bucks,Pistons,10,18,18,1,0
15,2016-10-20 18:30:00,The Palace of Auburn Hills,"Detroit, MI",12334,22076,Raptors,Pistons,10,20,18,3,0
16,2016-10-04 19:00:00,FedExForum,"Memphis, TN",12511,18119,Magic,Grizzlies,10,4,19,1,1
17,2016-10-06 18:00:00,Quicken Loans Arena,"Cleveland, OH",18789,20562,Magic,Cavaliers,10,6,18,3,0
18,2016-10-13 18:00:00,Amway Center,"Orlando, FL",15092,18500,Spurs,Magic,10,13,18,3,0
19,2016-10-15 18:00:00,Amway Center,"Orlando, FL",14097,18500,Pacers,Magic,10,15,18,5,0
