,Unnamed: 0,date,game_center,geo_location,attendance,capacity,guest,home,streak_home,streak_guest
0,0,2016-10-11 21:30:00,Golden 1 Center,"SACRAMENTO, CA",16000,17500,Haifa,Kings,0,0
1,1,2016-10-19 21:00:00,Golden 1 Center,"SACRAMENTO, CA",16000,17500,Clippers,Kings,0,0
2,2,2016-10-07 18:30:00,Greensboro Coliseum,"Greensboro, NC",8021,23309,Celtics,Hornets,0,0
3,3,2016-10-05 18:00:00,Mullins Center,"Amherst, MA",4532,9493,Celtics,76ers,0,0
4,4,2016-10-15 18:00:00,Air Canada Centre,"Toronto, ON",15113,19800,Lorenz,Raptors,0,0
5,5,2016-10-04 19:00:00,United Center,"Chicago, IL",20104,20917,Bucks,Bulls,0,0
6,6,2016-10-07 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",12925,18165,Bulls,Pacers,0,0
7,7,2016-10-09 19:00:00,United Center,"Chicago, IL",20096,20917,Pacers,Bulls,0,0
8,8,2016-10-15 19:00:00,United Center,"Chicago, IL",21766,20917,Cavaliers,Bulls,0,0
9,9,2016-10-16 19:30:00,BMO Harris Bradley Center,"Milwaukee, WI",10794,18717,Bulls,Bucks,0,0
10,10,2016-10-18 19:00:00,United Center,"Chicago, IL",20025,20917,Hornets,Bulls,0,0
11,11,2016-10-11 18:30:00,The Palace of Auburn Hills,"Detroit, MI",12103,22076,Spurs,Pistons,0,0
12,12,2016-10-14 18:30:00,Philips Arena,"Atlanta, GA",10852,18729,Pistons,Hawks,0,0
13,13,2016-10-16 18:00:00,Wells Fargo Center,"Philadelphia, PA",10891,20318,Pistons,76ers,0,0
14,14,2016-10-18 18:30:00,The Palace of Auburn Hills,"Detroit, MI",10096,22076,Bucks,Pistons,0,0
15,15,2016-10-20 18:30:00,The Palace of Auburn Hills,"Detroit, MI",12334,22076,Raptors,Pistons,0,0
16,16,2016-10-04 19:00:00,FedExForum,"Memphis, TN",12511,18119,Magic,Grizzlies,0,0
17,17,2016-10-06 18:00:00,Quicken Loans Arena,"Cleveland, OH",18789,20562,Magic,Cavaliers,0,0
18,18,2016-10-13 18:00:00,Amway Center,"Orlando, FL",15092,18500,Spurs,Magic,0,0
19,19,2016-10-15 18:00:00,Amway Center,"Orlando, FL",14097,18500,Pacers,Magic,0,0
20,20,2016-10-17 17:00:00,Amway Center,"Orlando, FL",15081,18500,Hawks,Magic,0,0
21,21,2016-10-21 18:00:00,Amway Center,"Orlando, FL",14901,18500,Pelicans,Magic,0,0
22,22,2016-10-07 19:00:00,FedExForum,"Memphis, TN",13246,18119,Hawks,Grizzlies,0,0
23,23,2016-10-09 19:30:00,AT&T Center,"San Antonio, TX",18555,18581,Hawks,Spurs,0,0
24,24,2016-10-11 18:30:00,Philips Arena,"Atlanta, GA",16202,18729,Cavaliers,Hawks,0,0
25,25,2016-10-19 18:30:00,Philips Arena,"Atlanta, GA",10866,18729,Pelicans,Hawks,0,0
26,26,2016-10-09 14:30:00,Mohegan Sun Arena,"Uncasville, CT",8052,10000,Hornets,Celtics,0,0
27,27,2016-10-16 18:30:00,Madison Square Garden,"New York, NY",19607,19763,Celtics,Knicks,0,0
28,28,2016-10-18 18:30:00,TD Garden,"Boston, MA",15925,18624,Nets,Celtics,0,0
29,29,2016-10-20 18:30:00,TD Garden,"Boston, MA",16327,18624,Knicks,Celtics,0,0
30,30,2016-10-09 18:30:00,Madison Square Garden,"New York, NY",19601,19763,Nets,Knicks,0,0
31,31,2016-10-15 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",12209,18422,Mavericks,Suns,0,0
32,32,2016-10-20 19:30:00,American Airlines Center,"Dallas, TX",18988,19200,Rockets,Mavericks,0,0
