,game_center,lon,lat
0,AT&T Center,-98.437445,29.427071
1,Air Canada Centre,-79.379099,43.643466
2,American Airlines Center,-96.810278,32.790556
3,AmericanAirlines Arena,-80.188056,25.781389
4,Amway Center,-81.38386,28.539256
5,BMO Harris Bradley Center,-87.917199,43.043651
6,Bankers Life Fieldhouse,-86.155464,39.76393
7,Chesapeake Energy Arena,-97.515118,35.463417
8,FedExForum,-90.050474,35.138204
9,Golden 1 Center,-121.499619,38.580641
10,Greensboro Coliseum,-79.82555,36.059723
11,Madison Square Garden,-73.993439,40.750504
12,Moda Center,-122.666842,45.531565
13,Mohegan Sun Arena,-72.089702,41.49115
14,Mullins Center,-72.533446,42.389382
15,ORACLE Arena,-122.203049,37.750292
16,Pepsi Center,-105.00771,39.74866
17,Philips Arena,-84.396324,33.757289
18,Quicken Loans Arena,-81.688216,41.496567
19,STAPLES Center,-118.267254,34.043017
20,Smoothie King Center,-90.082057,29.949035
21,Spectrum Center,-80.839235,35.225143
22,TD Garden,-71.062146,42.366198
23,Talking Stick Resort Arena,-112.071201,33.445737
24,Target Center,-93.27619,44.979455
25,The Palace of Auburn Hills,-83.245793,42.696885
26,Toyota Center,-95.3621,29.75076
27,United Center,-87.674176,41.880691
28,Verizon Center,-77.02088,38.898125
29,Vivint Smart Home Arena,-111.901087,40.768268
30,Wells Fargo Center,-75.17198,39.901201
